ID,CalcRMSD,COM_Distance
mac-x4826,2.330255056,1.610351337
mac-x4827,0.725676368,0.393599431
mac-x4829,1.023001955,0.659947547
mac-x4830,3.532040076,1.641168814
mac-x4831,1.62305205,0.424223327
mac-x4833,2.206308505,0.071299284
mac-x4835,0.821866916,0.569642981
mac-x4837,1.288008691,0.651016951
mac-x4839,4.758357982,2.717715382
mac-x4840,0.660674088,0.357594301
mac-x4841,4.918601651,2.917062405
mac-x4842,4.249525215,2.483538577
mac-x4846,0.826311863,0.244972663
mac-x4847,1.639838245,0.187268408
mac-x4848,2.95003347,0.481830347
mac-x4849,3.900530009,1.928887893
mac-x4850,1.957964284,0.791442888
mac-x4851,1.147138635,0.774326769
mac-x4856,2.652452816,0.823686071
mac-x4857,0.681770629,0.400194134
mac-x4858,2.492016157,1.269345963
mac-x4861,2.114564021,0.95128723
mac-x4862,4.363028392,2.454969206
mac-x4863,4.229096954,2.418165406
mac-x4869,1.339883253,0.777873066
mac-x4876,1.767761296,0.347177776
mac-x4877,2.517984208,1.187462815
mac-x4882,1.254199526,0.560135539
mac-x4887,0.613824855,0.443065276
mac-x4888,2.209346761,0.481710295
mac-x4890,2.689080498,0.671937217
mac-x4893,2.548795862,0.334442204
mac-x4894,1.195107085,0.39999782
mac-x4895,2.352520126,1.104995611
mac-x4896,1.354981596,0.55801069
mac-x4899,1.803147603,0.798808443
mac-x4903,1.514530892,0.468702416
mac-x4904,1.192759583,0.301037095
mac-x4908,3.192934371,0.920281867
mac-x4911,1.154418392,0.530424238
mac-x4913,1.718466441,0.734199167
mac-x4915,1.873860736,0.489167682
mac-x4916,3.233848722,1.742574243
mac-x4918,2.152808276,0.820088212
mac-x4919,1.987330731,0.456707004
mac-x4920,6.84290429,4.013260045
mac-x4922,2.543952002,0.321784395
mac-x4923,2.422817024,1.052487327
mac-x4925,0.963327855,0.39036655
mac-x4931,1.287543941,0.920399538
mac-x4940,1.100317106,0.652658134
mac-x4942,2.398800719,0.595396304
mac-x4948,2.678924588,0.891109293
mac-x4951,1.569640966,0.517680462
mac-x4953,1.267740707,0.221378419
mac-x4958,5.683821006,3.460188456
mac-x4960,0.976173896,0.656435549
mac-x4964,3.644849486,1.89044186
mac-x4970,3.448763981,0.922471258
mac-x4973,3.916882742,2.384029322
mac-x4974,1.657878582,0.394423601
mac-x4976,2.426973743,1.346833573
mac-x4977,4.525009488,2.480282895
mac-x4981,4.618079744,3.327063821
mac-x4985,1.376456897,0.911975135
mac-x4995,6.55200413,3.982244147
mac-x4998,0.89668212,0.475160122
mac-x4999,2.235558135,1.032621753
mac-x5000,2.12952453,0.340685171
mac-x5001,2.25350382,0.489271695
mac-x5002,2.246865239,0.572621022
mac-x5003,1.819604201,0.825189983
mac-x5004,3.015630415,0.95727605
mac-x5015,4.835802932,2.114717298
mac-x5020,5.379259758,3.165032144
mac-x5021,3.652691861,2.017135
mac-x5023,2.483900707,0.995143015
mac-x5026,0.5407296,0.1793532
mac-x5027,1.663322756,0.614864476
mac-x5028,0.793017864,0.417447415
mac-x5034,6.059677734,3.409233914
mac-x5043,1.192408592,0.621165896
mac-x5052,1.644984073,0.44919414
mac-x5053,0.440101663,0.324751539
mac-x5054,0.682308077,0.1069276
mac-x5056,2.610838139,0.85732163
mac-x5057,2.217949585,0.178880183
mac-x5060,1.628146465,0.414414669
mac-x5062,1.336124919,0.244035999
mac-x5064,0.781546864,0.427159981
mac-x5065,2.523102435,1.169461934
mac-x5069,2.590817428,0.398754546
mac-x5071,2.163548778,1.076757733
mac-x5073,0.52200135,0.293692455
mac-x5074,3.281086188,1.826315781
mac-x5078,3.994657731,1.036303266
mac-x5079,1.311439787,0.331789707
mac-x5081,2.831503504,0.554847379
mac-x5082,1.944835247,1.667671571
mac-x5084,1.518427684,0.315530078
mac-x5085,2.357981474,0.856575382
mac-x5087,1.307551479,0.81506197
mac-x5090,1.265002976,0.534123027
mac-x5091,3.687364984,2.166845179
mac-x5092,0.666690843,0.5493296
mac-x5093,2.016973621,1.008818333
mac-x5105,2.267416603,0.565333474
mac-x5109,12.2585548,10.4696481
mac-x5110,1.990635642,0.327266146
mac-x5113,3.917096951,1.968922097
mac-x5114,1.068325366,0.441557603
mac-x5118,2.129841181,0.737496407
mac-x5119,3.736090865,1.295714016
mac-x5120,1.904442061,0.820275285
mac-x5122,1.406712668,0.672745655
mac-x5123,9.913720805,8.929928146
mac-x5124,0.672077201,0.412289984
mac-x5127,2.17796244,0.418157343
mac-x5131,3.697664393,1.658554406
mac-x5132,3.116865784,1.021204522
mac-x5139,2.559089614,1.018819114
mac-x5142,1.858989229,0.706558319
mac-x5143,6.250250466,3.421745839
mac-x5144,2.661125593,0.485790218
mac-x5146,1.663225003,0.431731198
mac-x5148,6.464151567,3.565415258
